IP, IX_country, MM_country, IP_country, IP2_country, IX_city, MM_city, IP_city, IP2_city, IX_lat, MM_lat, IP_lat, ip2_lat, IX_long, MM_long, IP_long, IP2_long, IXMM_distance, IXIP_distance, IXIP2_distance, MMIP_distance, MMIP2_distance, IPIP2_distance, IXMMIPIP2_distance_agreement, IXMMIPIP2_country_agreement
154.24.29.102,US,US,US,US,Atlanta,,Washington,Atlanta,33.76,37.751,38.9014,33.749,-84.39,-97.822,-77.0504,-84.38798,14.012376850485,8.9612344082721,0.011183934906817,20.803432089922,14.017449745243,8.9658968327993,1,1
184.105.64.133,US,US,US,US,Palo Alto,,Chicago,Fremont,37.43,37.751,41.85,37.51798,-122.14,-97.822,-87.65,-121.92949,24.32011852356,34.772064937245,0.22815551823263,10.966831128453,24.108616144866,34.552132089648,0,1
65.39.155.204,CA,CA,CA,CA,Montréal,Montreal,Montréal,Montreal,45.502559,45.4995,45.5088,45.50884,-73.565474,-73.5848,-73.5878,-73.58781,0.019566597992504,0.023181897182939,0.023202324387881,0.0097718984849445,0.0098130372464417,4.1231056255477E-5,1,1
64.71.158.46,US,US,US,US,San Jose,,Fremont,Fremont,37.34,37.751,37.5483,37.51798,-121.89,-97.822,-121.9886,-121.92949,24.071508988844,0.2304579137283,0.18230836651125,24.167450069256,24.108616144866,0.066432631289151,1,1
154.24.3.142,US,US,US,US,Chicago,,Washington,Atlanta,41.88,37.751,38.9014,33.749,-87.63,-97.822,-77.0504,-84.38798,10.996613342298,10.990905063733,8.7535052796237,20.803432089922,14.017449745243,8.9658968327993,1,1
154.54.1.30,US,US,US,US,Chicago,,Washington,Washington,41.88,37.751,38.9014,38.901566,-87.63,-97.822,-77.0504,-77.05078,10.996613342298,10.990905063733,10.990494297381,20.803432089922,20.803061851775,0.00041467577696955,1,1
64.125.30.55,GB,US,US,US,Westminster,,Washington,Louisville,51.51,37.751,38.8951,39.96642,-0.13,-97.822,-77.0364,-105.1542,98.656155129825,77.934139264959,105.65669323264,20.817063485756,7.6595850159392,28.138201850552,0,0
154.54.38.50,DE,US,US,US,Munich,,Washington,Washington,48.13,37.751,38.9014,38.901566,11.57,-97.822,-77.0504,-77.05078,109.88327127002,89.099620392682,89.099981155446,20.803432089922,20.803061851775,0.00041467577696955,0,0
216.66.27.254,US,US,US,US,Ashburn,,Boston,Philadelphia,39.04,37.751,42.3584,39.95234,-77.49,-97.822,-71.0598,-75.16379,20.372818778952,7.2359692232624,2.4987231218564,27.155910656798,22.764893546856,4.7572953075986,0,1
154.24.33.218,US,US,US,US,Sterling,,Washington,Atlanta,39.04,37.751,38.9014,33.749,-77.49,-97.822,-77.0504,-84.38798,20.372818778952,0.46093179538843,8.693492340849,20.803432089922,14.017449745243,8.9658968327993,1,1
154.54.30.189,US,US,US,US,Sterling,,Washington,Washington,39.04,37.751,38.9014,38.901566,-77.49,-97.822,-77.0504,-77.05078,20.372818778952,0.46093179538843,0.46051946837891,20.803432089922,20.803061851775,0.00041467577696955,1,1
64.125.20.154,US,US,US,US,Dallas,,Dallas,Baltimore,32.78,37.751,32.7831,39.29038,-96.8,-97.822,-96.8067,-76.61219,5.0749704432637,0.0073824115301236,21.211617579536,5.0705881808721,21.265599709872,21.217043317543,1,1
64.125.25.62,US,US,US,US,San Francisco,,San Francisco,Phoenix,37.78,37.751,37.7749,33.44838,-122.42,-97.822,-122.4194,-112.07404,24.59801709488,0.0051351728305866,11.216141054124,24.597411611184,14.887349765019,11.213618900248,1,1
154.54.41.145,US,US,US,US,Atlanta,,Washington,Washington,33.76,37.751,38.9014,38.901566,-84.39,-97.822,-77.0504,-77.05078,14.012376850485,8.9612344082721,8.9610184209584,20.803432089922,20.803061851775,0.00041467577696955,1,1
154.54.58.173,US,US,US,US,Atlanta,,Washington,Washington,33.76,37.751,38.9014,38.901566,-84.39,-97.822,-77.0504,-77.05078,14.012376850485,8.9612344082721,8.9610184209584,20.803432089922,20.803061851775,0.00041467577696955,1,1
66.198.111.7,US,US,US,US,New York,,Newark,Newark,40.717855,37.751,40.7357,40.7334,-74.008879,-97.822,-74.1724,-74.1735,23.997228180598,0.16449182796115,0.16535332069845,23.837198120794,23.835818886919,0.0025495097567983,1,1
154.54.57.153,US,US,US,US,Atlanta,,Washington,Washington,33.76,37.751,38.9014,38.901566,-84.39,-97.822,-77.0504,-77.05078,14.012376850485,8.9612344082721,8.9610184209584,20.803432089922,20.803061851775,0.00041467577696955,1,1
206.248.141.53,CA,CA,CA,CA,Montreal,Toronto,Chatham,Chatham,45.51,43.6591,42.4122,42.38095,-73.55,-79.4626,-82.1849,-82.218735,6.1955362616968,9.173759471994,9.2161771034809,2.9942740188567,3.0380828758816,0.046058329594111,1,1
184.105.81.206,US,US,US,US,Dallas,,Portland,Fremont,32.78,37.751,45.5234,37.51798,-96.8,-97.822,-122.6762,-121.92949,5.0749704432637,28.843924316916,25.572245152518,26.041149348675,24.108616144866,8.0401694758568,0,1
66.163.76.193,CA,CA,CA,CA,Calgary,Winnipeg,Vancouver,Calgary,51.05,49.8179,49.2497,51.050743,-114.06,-97.1535,-123.1193,-114.07595,16.951336603938,9.2364493491817,0.015967296233242,25.972016111192,16.967298425652,9.22095087886,0,1
206.130.10.99,US,US,US,US,New York,,Sunnyside,New York City,40.72,37.751,40.7571,40.75831,-74,-97.822,-73.9657,-73.96804,24.006304276169,0.050526230811335,0.049890857879977,24.044951380695,24.042781060387,0.0026343310346307,1,1
209.51.184.225,CA,US,US,US,Montréal,,New York City,New York City,45.51,37.751,40.7143,40.71427,-73.55,-97.822,-74.006,-74.00597,25.481994917981,4.8173306394724,4.8173576651314,23.999645890929,23.999671957212,4.2426406869587E-5,0,0
